team,first,last,base,total,position
Atlanta United,Luis,Abram,556364,695977,D
Atlanta United,Thiago,Almada,1650000,2332000,M-F
Atlanta United,Osvaldo,Alonso,88200,88200,D-M
Atlanta United,Esequiel,Barco,2200000,2200000,M
Atlanta United,Miguel,Berry,135000,135000,F
Atlanta United,Erik,Centeno,67360,79136,D
Atlanta United,Machop,Chol,89716,89716,M
Atlanta United,Noah,Cobb,67360,67360,D
Atlanta United,Jackson,Conway,89716,89716,F
Atlanta United,Clément,Diop,85444,85444,GK
Atlanta United,Derrick,Etienne Jr.,676250,676250,M
Atlanta United,Ajani,Fortune,67360,67360,M
Atlanta United,Justin,Garces,68775,68775,GK
Atlanta United,Georgios,Giakoumakis,1576636,2160453,F
Atlanta United,Brad,Guzan,600000,612500,GK
Atlanta United,Ronald,Hernández,375000,375000,D
Atlanta United,Franco,Ibarra,550000,620000,D-M
Atlanta United,Brooks,Lennon,700000,700000,D
Atlanta United,Saba,Lobjanidze,2052000,2150750,M
Atlanta United,Aiden,McFadden,85444,85444,D
Atlanta United,Efraín,Morales,85444,85444,D
Atlanta United,Edwin,Mosquera,375000,412000,M
Atlanta United,Tristan,Muyumba,450000,491600,D-M
Atlanta United,Juan José,Purata,400000,483500,D
Atlanta United,Miles,Robinson,1400000,1437500,D
Atlanta United,Matheus,Rossetto,650000,764375,M
Atlanta United,Amar,Sejdic,85444,92111,D-M
Atlanta United,Xande,Silva,480000,524250,M
Atlanta United,Santiago,Sosa,575000,693100,D-M
Atlanta United,Jamal,Thiaré,977679,1072679,F
Atlanta United,Quentin,Westberg,200000,200000,GK
Atlanta United,Caleb,Wiley,85444,87044,D
Atlanta United,Tyler,Wolff,120000,124500,M
Austin FC,Charlie,Asensio,68775,68775,D
Austin FC,Matt,Bersano,125000,132500,GK
Austin FC,Will,Bruin,200000,200000,F
Austin FC,Julio,Cascante,620000,693750,D
Austin FC,Sofiane,Djeffal,75325,75325,M
Austin FC,Moussa,Djitté,600000,600000,F
Austin FC,Sebastián,Driussi,3800000,6022500,M-F
Austin FC,Ethan,Finlay,425000,425000,M
Austin FC,CJ,Fodrey,67360,69360,M
Austin FC,Jon,Gallagher,300000,300000,D
Austin FC,Matt,Hedges,776250,908859,D
Austin FC,Héctor,Jiménez,85444,85444,D
Austin FC,Kipp,Keller,100000,112500,D
Austin FC,Zan,Kolmanic,325000,325000,D
Austin FC,Damian,Las,67360,67360,GK
Austin FC,Nick,Lima,375000,375000,D
Austin FC,Adam,Lundqvist,350000,397500,D
Austin FC,Alfonso,Ocampo-Chávez,67360,83360,F
Austin FC,Daniel,Pereira,100000,118414,M
Austin FC,Rodney,Redes,440000,440000,M
Austin FC,Emiliano,Rigoni,1599996,2047996,M
Austin FC,Alexander,Ring,1500000,1640000,M
Austin FC,Memo,Rodríguez,180000,210167,M
Austin FC,Jhohan,Romaña,460000,460000,D
Austin FC,Brad,Stuver,408000,430813,GK
Austin FC,Maximiliano,Urruti,700000,736250,F
Austin FC,Leo,Väisänen,600000,654500,D
Austin FC,Jhojan,Valencia,400000,445125,D-M
Austin FC,Owen,Wolff,100000,113053,M
Austin FC,Gyasi,Zardes,800000,800000,F
CF Montreal,Fernando,Álvarez,85444,117444,D
CF Montreal,Jean-Aniel,Assi,85444,94749,M
CF Montreal,Zachary,Brault-Guillard,275000,319375,D
CF Montreal,George,Campbell,325000,365625,D
CF Montreal,Mathieu,Choinière,250000,276667,M
CF Montreal,Gabriele,Corbo,216350,216350,D
CF Montreal,Bryce,Duke,150000,231875,M
CF Montreal,Ahmed,Hamdi,500000,597500,M-F
CF Montreal,Aarón,Herrera,725000,820220,D
CF Montreal,Sunusi,Ibrahim,200000,291250,F
CF Montreal,Ilias,Iliadis,85444,92319,D-M
CF Montreal,Ousman,Jabang,67360,67360,D-M
CF Montreal,Logan,Ketterer,88200,88200,GK
CF Montreal,Jojea,Kwizera,68775,68775,M
CF Montreal,Lassi,Lappalainen,630000,660000,M
CF Montreal,Ariel,Lassiter,220000,240280,M
CF Montreal,Matko,Miljevic,545455,593364,M
CF Montreal,Chinonso,Offor,200000,257875,F
CF Montreal,Kwadwo,Opoku,310344,512100,M
CF Montreal,James,Pantemis,144996,163996,GK
CF Montreal,Samuel,Piette,397375,469563,D-M
CF Montreal,Romell,Quioto,950000,1035000,F
CF Montreal,Sean,Rea,85444,92340,M-F
CF Montreal,Nathan-Dylan,Saliba,67360,79169,M
CF Montreal,Jonathan,Sirois,85444,89780,GK
CF Montreal,Róbert Orri,Thorkelsson,175000,198500,D
CF Montreal,Mason,Toye,550000,608000,F
CF Montreal,Jules-Anthony,Vilsaint,85444,92319,F
CF Montreal,Victor,Wanyama,1440000,1800000,D-M
CF Montreal,Joel,Waterman,161369,288202,D
CF Montreal,Rida,Zouhir,85444,92340,M
Charlotte FC,Harrison,Afful,85444,85444,D
Charlotte FC,Patrick,Agyemang,67360,67360,F
Charlotte FC,Scott,Arfield,400000,437500,M
Charlotte FC,Ben,Bender,85444,105444,M
Charlotte FC,Nimfasha,Berchimas,67360,82294,M
Charlotte FC,Brandt,Bronico,310000,348375,M
Charlotte FC,Nathan,Byrne,560000,607833,D
Charlotte FC,Brandon,Cambridge,67360,75386,M
Charlotte FC,Enzo,Copetti,1000000,1142250,F
Charlotte FC,Guzmán,Corujo,625000,658500,D
Charlotte FC,Brecht,Dejaegere,820000,999375,M
Charlotte FC,Hamady,Diop,67360,74860,D
Charlotte FC,McKinze,Gaines,100000,102750,M
Charlotte FC,Chris,Hegardt,85444,92956,D-M
Charlotte FC,Derrick,Jones,325000,347969,M
Charlotte FC,Kamil,Józwiak,1100000,1217000,M
Charlotte FC,Kristijan,Kahlina,500000,526875,GK
Charlotte FC,Jaylin,Lindsey,250000,286250,D
Charlotte FC,Adilson,Malanda,275000,303083,D
Charlotte FC,George,Marks,68775,68775,GK
Charlotte FC,Justin,Meram,450000,493750,M
Charlotte FC,Jack,Neeley,67360,69360,D
Charlotte FC,Andrew,Privett,67360,67360,D
Charlotte FC,Brian,Romero,67360,78193,M
Charlotte FC,Nick,Scardina,67360,67360,M
Charlotte FC,Vinicius,Silveira de Mello,315000,349900,F
Charlotte FC,Pablo,Sisniega,190000,210667,GK
Charlotte FC,Jan,Sobocinski,325000,351250,D
Charlotte FC,Karol,Swiderski,2200000,2258000,F
Charlotte FC,Bill,Tuiloma,435000,459938,D
Charlotte FC,Jere,Uronen,450000,497813,D
Charlotte FC,Kerwin,Vargas,375000,412125,F
Charlotte FC,Ashley,Westwood,750000,850000,D-M
Charlotte FC,Adrián,Zendejas,85444,93430,GK
Chicago Fire,Alonso,Aceves,330000,368900,D
Chicago Fire,Victor,Bezerra,85444,97905,F
Chicago Fire,Chris,Brady,189996,213246,GK
Chicago Fire,Kendall,Burks,88200,88200,D
Chicago Fire,Javier,Casas,85444,87344,M
Chicago Fire,Rafael,Czichos,1300000,1336667,D
